front,back
"Wie heißt das große Rechteck, das alle Use-Cases im Use-Case-Diagramm umrahmt?","Systemgrenze"
"Wie nennt man die Strichmännchen im Use-Case-Diagramm?","Akteur"
"Wie nennt man die Ovale im Use-Case-Diagramm?","Anwendungsfall oder Use-Case"
"Was bedeuten im Use-Case-Diagramm die Pfeilspitzen bei einer Assoziation, oder das Fehlen dieser?","Pfeilspitze zum Use-Case: Akteur kann Use-Case initiieren; Pfeilspitze zum Akteur: Akteur kann Informationen aus dem Use-Case erhalten; keine Pfeilspitze: beide Pfeilspitzen"
"Wie zeige ich im Use-Case-Diagramm, dass der Akteur 'Klassenlehrer' eine Unterkategorie des Akteurs 'Lehrer' ist?","Mit einer Generalisierung. Zeichne einen Pfeil mit hohler Spitze von 'Klassenlehrer' zu 'Lehrer'"
"Wie zeige ich im Use-Case-Diagramm, dass bei 'Unterricht erteilen' immer auch 'Anwesenheit prüfen' stattfindet?","Mit einer include-Beziehung. Zeichne einen gestrichelten Pfeil mit offener Spitze von 'Unterricht erteilen' zu 'Anwesenheit prüfen' und beschrifte den Pfeil mit '<<include>>'"
"Wie zeige ich im Use-Case-Diagramm, dass bei 'Unterricht erteilen' an einem Klausurtermin eine Klausur geschrieben wird, wenn ein Klausurraum vorhanden ist?","Mit einem Extension Point. Schneide Sektion von 'Unterricht erteilen' ab und beschrifte mit 'extension point' und 'Klausurtermin'. Zeichne einen gestrichelten Pfeil mit offener Spitze von 'Klausur schreiben' zu 'Klausurtermin' und beschrifte den Pfeil mit '<<extend>>'. Zweige vom Pfeil ab zu einer Notizzettelform mit Benennung von 'extension point' und 'condition'"
"Wie heißt der Anfang im Aktivitätsdiagramm, und wie zeichne ich den?","Startknoten. Zeichne einen ausgefüllten Kreis"
"Wie heißt das Ende von allem im Aktivitätsdiagramm, und wie zeichne ich es?","Endknoten, Aktivitätsende. Zeichne einen hohlen Kreis, und darin einen ausgefüllten Kreis"
"Wie heißt das Ende von nur einem Teilstrang im Aktivitätsdiagramm, und wie zeichne ich es?","Endknoten, Kontrollflussende. Zeichne einen hohlen Kreis und kreuze es an die Ränder des Kreises an"
"Wie trage ich die Tätigkeit 'Rezept abgeben' im Aktivitätsdiagramm ein?","Als Aktivität. Zeichne ein Rechteck mit abgerundeten Ecken"
"Wie nennt im Aktivitätsdiagramm das Ding, das zwei Sachen miteinander verbindet?","Verbindungspfeil"
"Wie zeige ich im Aktivitätsdiagramm, dass auf eine Sache eine andere folgt, wenn ein Fehler passiert?","Mit einem Fehlerpfeil. Zeiche einen blitzförmigen Pfeil von dem einen Element zum anderen"
"Wie stelle ich im Aktivitätsdiagramm dar, dass wenn ich ein Paket verpacke, ein Paket entsteht und übergeben wird?","Mit einem Objekt. Zeichne ein Rechteck und beschrifte es 'Paket'. Verbinde 'Paket verpacken' zu diesem Objekt"
"Wie heißen die Wurmlöcher in Aktivitätsdiagrammen, und wie baue ich die ein?","Konnektoren. Zeichne ein Paar an Kreisen und beschrifte diese mit dem gleichen eindeutig identifizierenden Symbol. Eine Verbindung zu einem Konnektor wird vom Partner-Konnektor emittiert"
"Wie heißen 'Events' und 'Event Listener' in Aktivitätsdiagrammen, und wie baue ich die ein?","Sendende und empfangende Signale. Für sendende Signale, zeichne '[__>'-Form und beschrifte eindeutig. Für entsprechendes empfangendes Signal, zeichne '[__<'-Form und beschrifte gleich"
"Wie grenze ich einzelne Personen im Aktivitätsdiagramm ab?","Mit Swimlanes. Teile das Aktivitätsdiagramm in Spalten"
"Wie füge ich ein If-Statement im Aktivitätsdiagramm ein?","Mit einer If-Verzweigung. Zeichne eine Karo-Form. Verbinde die Quelle an diese Verzweigung. Zeichne Verbindungen von der Verzweigung ausgehend für jeden möglichen Fall. Beschrifte jede ausgehende Verbindung mit dem eintretenden Fall oder mit '[else]'"
"Wie zeige ich im Aktivitätsdiagramm, dass jetzt zwei parallele Vorgänge starten?","Mit einer Asynchrone-Verzweigung. Zeiche eine dicke horizontale Linie. Verbinde die Quelle an diese Verzweigung. Zeichne Verbindungen von der Verzweigung ausgehend für jeden parallelen Vorgang"
"Wie zeige ich im Aktivitätsdiagramm, dass ein Vorgang hier weitergeht, wenn bestimmte andere parallele Vorgänge alle fertig sind?","Mit einer Asynchrone-Verzweigung. Zeiche eine dicke horizontale Linie. Verbinde jeden parallelen Vorgang an diese Verzweigung. Zeichne eine Verbindung von der Verzweigung ausgehend"
"Wie zeige ich im Aktivitätsdiagramm, dass ein Vorgang hier weitergeht, wenn von bestimmten anderen parallele Vorgängen einer fertig ist?","Mit einer Verzweigung. Zeichne eine Karo-Form. Verbinde jeden parallelen Vorgang an diese Verzweigung. Zeichne eine Verbindung von der Verzweigung ausgehend"
"Benutzer-orientierte Gestaltung interaktiver Systeme: Was kommt am Anfang?","Verstehen und Festlegen des Nutzungskontexts. Analyse von Benutzergruppen, ihren Zielen, Aufgaben und Ressourcen entweder: Empirisch (Interviews, Feldbeobachtungen, Fokusgruppen) oder Analytisch (Dokumente, Analyse ähnlicher oder bestehender Systeme)"
"Benutzer-orientierte Gestaltung interaktiver Systeme: Was kommt nach dem Nutzungskontext?","Festlegen der Nutzungsanforderungen. Formulierung der Anforderungen: Abstrakt (unabhängig von technischer Umsetzung), Eindeutig (eine möglich Interpretation), Nachvollziehbar (zurückverfolgbar (zur Quelle)), Überprüfbar (System erfüllt Anforderungen). Dokumentation z.B. in: Use Cases, User Stories"
"Benutzer-orientierte Gestaltung interaktiver Systeme: Was kommt nach den Nutzungsanforderungen?","Erarbeiten von Gestaltungslösungen. Prototypen Art: Vertikal, Horizontal. Prototyping-Stufen: Konzeptioneller Prototyp (verbale Beschreibung), Papierprototyp (Einfache Handskizzen), Statische Bildschirmdarstellung (Darstellung am Bildschirm aber ohne Dynamik), Dynamische Simulation (Simulation einfacher Abläufe), Wizard-of-Oz-Technik (Simulation der zukünftigen Verarbeitungsprozesse durch Person(en), von den Testpersonen unbemerkt)"
"Benutzer-orientierte Gestaltung interaktiver Systeme: Was kommt nach dem Erarbeiten von Gestaltungslösungen?","Evaluieren der Gestaltungslösung. Prüfung durch entweder: Benutzer (Fokusgruppen, Thinking Aloud) oder Experten (Inspektion auf Basis von Kontextanalysen, Heuristische Evaluation, Szenarienbasierter Walkthrough)"
"Formuliere eine beispielhafte User Story.","Als <Rolle> möchte ich <Ziel>, um <Nutzen>."
"Grenze voneinander ab: Scribble, Wireframe, Mockup.","Scribble: grob hingekritzelt. Wirframe: Drahtgerüst. Mockup: Schnappschuss des Endprodukts"
"Dialogprinzipien: Was ist Aufgabenangemessenheit?","Ein interaktives System ist aufgabenangemessen, wenn die Bedienfunktionen und die Benutzer-System- Interaktionen auf den charakteristischen Eigenschaften der Aufgabe basieren. Beispiele: keine unnötigen Inputs, Formate von Input & Output passen zur Aufgabe"
"Dialogprinzipien: Was ist Selbstbeschreibungsfähigkeit?","Ein Dialog ist selbstbeschreibungsfähig, wenn für den Benutzer immer offensichtlich ist, wo er sich im Vorgang befindet und welche Handlungen unternommen werden können. Beispiele: Rückmeldung über Erfolg bei vorherigem Schritt, Hinweis mit aktueller Abfrage"
"Dialogprinzipien: Was ist Lernförderlichkeit?","Ein Dialog ist lernförderlich, wenn er den Benutzer beim Erlernen des Dialogsystems unterstützt und anleitet. Beispiele: Tooltips, Einblendung von Tastatur-Shortcuts"
"Dialogprinzipien: Was ist Steuerbarkeit?","Ein Dialog ist steuerbar, wenn der Benutzer in der Lage ist, den Dialogablauf zu starten sowie seine Richtung und Geschwindigkeit zu beeinflussen, bis das Ziel erreicht ist. Beispiele: Vor/Zurück-Knöpfe, Pause-Funktionalität"
"Dialogprinzipien: Was ist Erwartungskonformität?","Ein Dialog ist erwartungskonform, wenn er einheitlich aufgebaut (konsistent) ist und den Erwartungen der Benutzer entspricht. Beispiele: Knöpfe mit gleicher Funktion sehen gleich aus, Benutzerprofil-Menü ist in oberer rechter Ecke"
"Dialogprinzipien: Was ist Individualisierbarkeit?","Ein Dialog ist individualisierbar, wenn das Dialogsystem Anpassungen an die individuellen Fähigkeiten und Vorlieben des Benutzers zuläßt. Beispiele: Anordnen von Symbolen auf einer Toolbar, Verschieben der Toolbar"
"Dialogprinzipien: Was ist Fehlertoleranz?","Ein Dialog ist fehlertolerant, wenn das Arbeitsergebnis trotz fehlerhafter Eingaben mit keinem oder mit minimalem Korrekturaufwand erreicht werden kann. Beispiele: Hinweise auf Fehleingaben, Googles 'Ich zeige jetzt Suchergebnisse für die richtige Variante von dem, was du falsch eingegeben hast'"
